"Model ID","Name","Status","Our Flags","Actual Flags","Issues","Severity"
"google/gemini-3-flash","Gemini 3 Flash","CORRECT","VTJSK","VTJSK","None - correctly has K but no C (caching)","NONE"
"google/gemini-2.5-pro","Gemini 2.5 Pro","CORRECT","VTJSKC","VTJSKC","None - correctly has K with 2M context","NONE"
"google/gemini-2.5-flash","Gemini 2.5 Flash","INCORRECT","VTJSK","VTJK","ISSUE: Marked S (structured output) but Flash models lack full structured output - only Pro has it","MEDIUM"
"google/gemini-2.0-flash-exp","Gemini 2.0 Flash Exp","INCORRECT","VTJSK","VTJK","ISSUE: Marked S (structured output) but experimental Flash lacks S","MEDIUM"
"google/gemini-2.0-flash","Gemini 2.0 Flash","INCORRECT","VTJSK","VTJK","ISSUE: Marked S (structured output) but Flash models do not have full structured output support","MEDIUM"
"google/gemini-1.5-pro","Gemini 1.5 Pro","CORRECT","VTJS","VTJS","None - correctly lacks K (no thinking in 1.5) and C","NONE"
"google/gemini-1.5-flash","Gemini 1.5 Flash","INCORRECT","VTJS","VTJS","ISSUE: Marked S (structured output) but Gemini 1.5 Flash does not have structured output","LOW"
"google/medpalm-2","Med-PaLM 2","CORRECT","TJ","TJ","None - specialized medical model without vision or other advanced capabilities","NONE"
"deepseek/deepseek-chat","DeepSeek V3","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but V3 does not support structured output - only R1 has thinking/extended reasoning","MEDIUM"
"deepseek/deepseek-reasoner","DeepSeek R1","CORRECT","JSKC","JSKC","None - correctly has K (thinking/reasoning) and S, correctly lacks T and V","NONE"
"cohere/command-r-plus-08-2024","Command R+","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Command R+ does not have structured output support","MEDIUM"
"cohere/command-r-08-2024","Command R","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Command R lacks structured output","MEDIUM"
"groq/llama-3.3-70b-versatile","Llama 3.3 70B (Groq)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama 3.3 does not have full structured output support","MEDIUM"
"groq/llama-3.1-8b-instant","Llama 3.1 8B (Groq)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama 3.1 lacks structured output","MEDIUM"
"groq/mixtral-8x7b-32768","Mixtral 8x7B (Groq)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Mixtral does not support structured output","MEDIUM"
"cerebras/llama-3.3-70b","Llama 3.3 70B (Cerebras)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) - open-source models lack structured output","MEDIUM"
"cerebras/llama-3.1-8b","Llama 3.1 8B (Cerebras)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) - open-source models lack structured output","MEDIUM"
"sambanova/llama-3.3-70b","Llama 3.3 70B (SambaNova)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama lacks it","MEDIUM"
"sambanova/deepseek-r1","DeepSeek R1 (SambaNova)","CORRECT","TJSK","TJSK","None - correctly has K (thinking) and S, correctly has T (tools) via provider","NONE"
"fireworks/llama-3.3-70b","Llama 3.3 70B (Fireworks)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama lacks it","MEDIUM"
"fireworks/deepseek-v3","DeepSeek V3 (Fireworks)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but V3 does not have structured output","MEDIUM"
"ai21/jamba-2.0-large","Jamba 2.0 Large","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Jamba lacks full structured output support","MEDIUM"
"ai21/jamba-2.0-mini","Jamba 2.0 Mini","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Jamba lacks it","MEDIUM"
"together_ai/meta-llama/Llama-3.3-70B-Instruct-Turbo","Llama 3.3 70B (Together)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama lacks it","MEDIUM"
"together_ai/deepseek-ai/DeepSeek-V3","DeepSeek V3 (Together)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but V3 does not have it","MEDIUM"
"together_ai/deepseek-ai/DeepSeek-R1","DeepSeek R1 (Together)","INCORRECT","JSKC","JSKC","ISSUE: Missing T (tools) flag - R1 via Together should support tool use (JSKC -> TJSKC); C flag questionable for Together platform","MEDIUM"
"bedrock/anthropic.claude-sonnet-4-5-20250929-v1:0","Claude Sonnet 4.5 (Bedrock)","CORRECT","VTJSKC","VTJSKC","None - correctly matches native Sonnet 4.5 with thinking support","NONE"
"bedrock/anthropic.claude-haiku-4-5-20251001-v1:0","Claude Haiku 4.5 (Bedrock)","CORRECT","VTJSKC","VTJSKC","None - correctly matches native Haiku 4.5","NONE"
"bedrock/amazon.nova-pro-v1:0","Amazon Nova Pro","INCORRECT","VTJS","VTjs","ISSUE: Marked S (structured output) but Nova Pro does not have structured output support","MEDIUM"
"bedrock/amazon.nova-lite-v1:0","Amazon Nova Lite","INCORRECT","VTJS","VTJ","ISSUE: Marked S (structured output) but Nova Lite lacks it","MEDIUM"
"bedrock/meta.llama3-3-70b-instruct-v1:0","Llama 3.3 70B (Bedrock)","CORRECT","TJ","TJ","None - correctly lacks S and other advanced features","NONE"
"openrouter/openai/gpt-4o","GPT-4o (OpenRouter)","CORRECT","VTJS","VTJS","None - correctly lacks K and C","NONE"
"openrouter/openai/o1","o1 (OpenRouter)","CORRECT","JSK","JSK","None - correctly has K (thinking)","NONE"
"openrouter/openai/o3","o3 (OpenRouter)","CORRECT","JSK","JSK","None - correctly has K","NONE"
"openrouter/anthropic/claude-opus-4.5","Claude Opus 4.5 (OpenRouter)","CORRECT","VTJSKC","VTJSKC","None - correctly matches native Opus 4.5","NONE"
"openrouter/anthropic/claude-sonnet-4.5","Claude Sonnet 4.5 (OpenRouter)","CORRECT","VTJSKC","VTJSKC","None - correctly matches native Sonnet 4.5 with K","NONE"
"openrouter/anthropic/claude-haiku-4.5","Claude Haiku 4.5 (OpenRouter)","CORRECT","VTJSKC","VTJSKC","None - correctly matches native Haiku 4.5","NONE"
"cloudflare/@cf/meta/llama-3.3-70b-instruct-fp8-fast","Llama 3.3 70B (Cloudflare)","CORRECT","TJ","TJ","None - correctly limited to TJ for edge inference","NONE"
"cloudflare/@cf/meta/llama-3.1-8b-instruct","Llama 3.1 8B (Cloudflare)","CORRECT","TJ","TJ","None - correctly limited to TJ","NONE"
"databricks/databricks-llama-3.3-70b","Llama 3.3 70B (Databricks)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Llama lacks it","MEDIUM"
"databricks/databricks-dbrx-instruct","DBRX Instruct (Databricks)","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but DBRX lacks it","MEDIUM"
"writer/palmyra-x5","Palmyra X5","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Palmyra lacks it","MEDIUM"
"writer/palmyra-x4","Palmyra X4","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Palmyra X4 lacks it","MEDIUM"
"maritaca/sabia-3","Sabiá 3","CORRECT","TJ","TJ","None - Portuguese specialist without structured output","NONE"
"maritaca/sabia-2-small","Sabiá 2 Small","CORRECT","TJ","TJ","None - correctly limited","NONE"
"clova/HCX-007","HyperCLOVA X 007","CORRECT","TJ","TJ","None - Korean model without vision or structured","NONE"
"clova/HCX-005","HyperCLOVA X 005","CORRECT","VTJ","VTJ","None - Korean multimodal but without structured output","NONE"
"clova/HCX-DASH-002","HyperCLOVA X DASH","CORRECT","TJ","TJ","None - lightweight Korean model","NONE"
"yandex/yandexgpt-pro","YandexGPT Pro","CORRECT","TJ","TJ","None - Russian model without advanced capabilities","NONE"
"yandex/yandexgpt-lite","YandexGPT Lite","CORRECT","TJ","TJ","None - Russian lite model","NONE"
"gigachat/gigachat-pro","GigaChat Pro","CORRECT","TJ","TJ","None - Russian enterprise model without structured output","NONE"
"gigachat/gigachat","GigaChat","CORRECT","TJ","TJ","None - Russian base model","NONE"
"upstage/solar-pro","Solar Pro","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Solar Pro lacks it","MEDIUM"
"upstage/solar-mini","Solar Mini","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but Solar Mini lacks it","MEDIUM"
"sea-lion/Qwen-SEA-LION-v4-32B-IT","SEA-LION v4 32B","INCORRECT","VTJS","VTJS","ISSUE: Marked S (structured output) but SEA-LION v4 lacks full structured output support","LOW"
"sea-lion/SEA-LION-v3-8B","SEA-LION v3 8B","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but v3 lacks it","MEDIUM"
"alibaba/qwen-max","Qwen Max","CORRECT","TJ","TJ","None - Chinese model without vision or structured","NONE"
"alibaba/qwen-plus","Qwen Plus","CORRECT","TJ","TJ","None - balanced performance without advanced features","NONE"
"alibaba/qwen-turbo","Qwen Turbo","CORRECT","TJ","TJ","None - fast model without structured output","NONE"
"alibaba/qwen-max-longcontext","Qwen Max Long Context","CORRECT","TJ","TJ","None - long context without structured output","NONE"
"baidu/ernie-4.5-turbo-128k","ERNIE 4.5 Turbo","CORRECT","TJ","TJ","None - Chinese ERNIE model without advanced features","NONE"
"zhipu/glm-4.7","GLM 4.7","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but GLM 4.7 lacks it","MEDIUM"
"zhipu/glm-4","GLM 4","INCORRECT","TJS","TJ","ISSUE: Marked S (structured output) but GLM 4 lacks it","MEDIUM"
"moonshot/kimi-k2","Kimi K2","CORRECT","TJ","TJ","None - Chinese model without vision or structured","NONE"
