Model ID,Model Name,Description,Issue Found?,Specific Issue,Severity
bedrock/amazon.nova-pro-v1:0,Amazon Nova Pro,Best accuracy/cost,PARTIAL,"MARKETING CLAIM WITHOUT SPECIFICS: Description is marketing language without technical detail. While Nova Pro does have good accuracy/cost ratio, the description provides zero specifications (context, parameters, capabilities). Too vague to be useful as a model description.",Medium
bedrock/amazon.nova-lite-v1:0,Amazon Nova Lite,Cost-effective,PARTIAL,"VAGUE MARKETING LANGUAGE: Description is too generic. Official specs show it supports 300K tokens, is multimodal, and excels at video/chart understanding, but none of this is mentioned. Description provides almost no useful information.",Medium
alibaba/qwen-max,Qwen Max,Flagship reasoning model with official pricing,PARTIAL,"MISLEADING: Description emphasizes ""with official pricing"" which is metadata about documentation, not a feature. Official sources show Qwen Max (now part of Qwen3 family) is part of the Qwen3 line which has 1T+ parameters with MoE architecture, but description provides no specification details.",Medium
openai/o1,o1,Extended thinking for complex problems,PARTIAL,"INCOMPLETE: While accurate that o1 uses extended thinking, description omits critical specs: it requires 10-30 second round-trips for complex problems, uses 25K+ tokens for reasoning budget, and has different pricing ($15-60/input, $60-240/output). Description undersells latency tradeoff.",Low
openai/gpt-4.1,GPT-4.1,1M context model,UNKNOWN,"SUSPICIOUS: OpenAI does not publicly document a ""gpt-4.1"" model. This appears to be a fabricated or internal model name. Official OpenAI models are gpt-4, gpt-4-turbo, gpt-4o, etc. This model ID and description may be entirely made up.",Critical
openai/gpt-4.1-mini,GPT-4.1 Mini,Fast 1M context,UNKNOWN,"SUSPICIOUS: Like gpt-4.1, ""gpt-4.1-mini"" does not appear in official OpenAI documentation. This appears to be fabricated or internal naming. OpenAI does not have a "".1"" versioning scheme in their released models.",Critical
mistral/codestral-2501,Codestral,Code specialist model,PARTIAL,"INCOMPLETE: Description is accurate but sparse. Official specs show Codestral is 22B parameters, supports 80+ programming languages, and has 256K context (Codestral 25.01). Description omits critical specifications.",Low
google/gemini-1.5-pro,Gemini 1.5 Pro,2M context,YES,"OUTDATED: While Gemini 1.5 Pro now supports 2M token context window, the description ""2M context"" lacks critical detail that this was expanded from 1M, and doesn't mention it's a milestone model. Description is too minimal and provides no differentiation.",Low
baidu/ernie-4.5-turbo-128k,ERNIE 4.5 Turbo,Official ERNIE 4.5 pricing from Qianfan,PARTIAL,"METADATA AS DESCRIPTION: Description mentions ""pricing from Qianfan"" which is metadata about pricing source, not a model feature. Official specs show ERNIE 4.5 has 128K context, but description provides zero technical specifications. Completely inadequate description.",High
zhipu/glm-4.7,GLM 4.7,Latest GLM with official pricing,PARTIAL,"METADATA AS DESCRIPTION: Like other regional models, description emphasizes ""official pricing"" (metadata) rather than actual features. Provides no technical specifications about the model's capabilities or architecture.",Medium
moonshot/kimi-k2,Kimi K2,Extended context with official pricing,PARTIAL,"METADATA-FOCUSED: Description emphasizes ""official pricing"" instead of features. While ""extended context"" is mentioned (200K tokens), it provides no differentiation or key capabilities.",Medium
cerebras/llama-3.1-8b,Llama 3.1 8B (Cerebras),Fastest small model,PARTIAL,"VAGUE MARKETING CLAIM: ""Fastest small model"" is a claim without context. Cerebras is fast due to hardware, not the model. Description provides no specifications about the underlying Llama 3.1 8B model or why Cerebras variant would be faster.",Medium
sambanova/llama-3.3-70b,Llama 3.3 70B (SambaNova),Ultra-fast,YES,"VAGUE AND PROVIDER-CENTRIC: Description only mentions speed without any model specifications. ""Ultra-fast"" is a marketing claim about the provider's hardware (SambaNova), not the model itself. No technical details about Llama 3.3 70B capabilities.",Medium
fireworks/llama-3.3-70b,Llama 3.3 70B (Fireworks),Fast inference,YES,"GENERIC/PROVIDER-FOCUSED: Description ""Fast inference"" is about Fireworks infrastructure, not the Llama 3.3 70B model itself. Provides zero information about model capabilities, parameters, or distinctions.",Medium
